Name,Text,Set,Scene,AudioFileName,AudioTime
HEADQUARTERS,Humanity needed a solution. The atmosphere was failing.,0,0,00_HQ_Intro,6
HEADQUARTERS,we built a tower in the sky and handed control over to a system.,0,0,-,4
HEADQUARTERS,OZONE.,0,0,-,2
HEADQUARTERS,It was meant to protect our airspace. Maintain the shield.,0,0,-,5
HEADQUARTERS,Now its locked us out.,0,0,-,2
HEADQUARTERS,Every unit we sent has gone. You werent built for this. But you are all we have.,0,0,-,7.5
HEADQUARTERS,Input check - [W] [A] [S] [D] for movement. [Space] to jump.,0,1,01_01_HQ_InputCheck,4.9
HEADQUARTERS,Keep it steady. Take that pipe ahead.,0,1,01_02_HQ_KeepItSteady,3
HEADQUARTERS,Skill check - [Right Mouse Button] to [Dash]. Use it to gain distance.,1,1,01_13_HQ_UseItToGainDistance,6
HEADQUARTERS,No faults detected. You're holding together.,1,1,01_11_HQ_NoFaultsDetected,4
HEADQUARTERS,Stay on task. Console's ahead. That's your access point to OZONE.,1,1,01_12_HQ_StayOnTask,5.4
HEADQUARTERS,Hostile unit detected. Avoid direct confrontation. You're not built for it.,2,1,01_21_HQ_HostileUnitDetected,4.8
HEADQUARTERS,It will telegraph before it fires. Watch out.,2,1,01_22_HQ_Telegraph,2.5
HEADQUARTERS,Terminal's at the end of the tunnel.,0,2,02_01_HQ_Terminal,2
HEADQUARTERS,That's our way in.,0,2,02_02_HQ_ThatsOurWayIn,1.5
HEADQUARTERS,Dodge everything it throws at you.,0,2,02_03_HQ_Dodge,2.5
HEADQUARTERS,We have visuals. Access terminal's in range.,1,2,02_11_HQ_Visuals,3.9
HEADQUARTERS,I've found another path. Just through the gate. It'll take you to OZONE.,2,2,03_04_HQ_IHaveFoundAnotherPath,5.3
HEADQUARTERS,But it's not clean. Expect heavier resistance.,2,2,03_05_HQ_ExpectHeavierResistance,4.3
HEADQUARTERS,This...It locks us out of the mainframe.,69,2,-,4.1
HEADQUARTERS,This isn't playing out the way we had hoped.,69,2,-,3.3
HEADQUARTERS,If we can't access it through the system... We force our way in.,69,2,-,5.3
HEADQUARTERS,Previous iterations failed at this point. There should be a weapon you can use.,69,2,-,5.5
HEADQUARTERS,I know you weren't made for this. But this is our last shot.,69,2,-,4.2
HEADQUARTERS,You are armed now. [Left Mouse Button] to attack.,0,3,03_03_HQ_LeftMouseButton,3.4
HEADQUARTERS,Visuals confirmed. That's the main body.,0,4,04_01_HQ_VisualsConfirmed,4
HEADQUARTERS,You're on your own from here. Good luck. HQ out.,0,4,04_02_HQ_GoodLuck,5.9
OZONE,Interference detected. Initiating extermination protocol.,1,4,04_01_Ozone_YouLeaveMeNoChoice,5
OZONE,You leave me no choice.,1,4,-,2.5
OZONE,I asked you to stop.,0,5,05_01_Ozone_IAskedYouToStop,1.8
OZONE,Why do you go to such lengths?,0,5,05_01_Ozone_WhyDoYouGo,2.6
OZONE,Who sent you?,0,5,05_01_Ozone_WhoSentYou,2
HEADQUARTERS,It's generating shields. Destroy it first.,0,5,05_01_HQ_ItsGeneratingShields,3.4
HEADQUARTERS,This is the final push.,0,5,05_02_HQ_ThisIsTheFinalPush,2
