Name,Text,Level
Protector,I need to get save the world real quick,0
Protector,W A S D to walk,0
Protector,Space to jump,0
Protector,Left click to attack,0
Protector,You can chain up to 3 attacks,0
Protector,Hurry! Get past the mechs to get to the big boss,0
Protector,Lorem Ipsum,1
Protector,I need to get save the world real quick,1
Protector,W A S D to walk,1
Protector,Space to jump,1
Protector,Left click to attack,1
Protector,You can chain up to 3 attacks,1
Protector,Hurry! Get past the mechs to get to the big boss,1
Protector,Lorem Ipsum,1
